"name","href","系统","剧情","人设","画面","音乐","声优","游戏性","工口","鬼畜","总体评分","对白"
"《水夏A.S+》","https://bangumi.tv/blog/269455","C-","B","A","A","A","B","D+","C-","D+","76",
"《交响乐之雨》","https://bangumi.tv/blog/269462","B-","A-","B-","B-","A+","A-","A-","E+","E","89",
"《混沌之脑》","https://bangumi.tv/blog/269534","B-","B+","B+","B","A-","S-","C-","E+","B-","79",
"《starless》","https://bangumi.tv/blog/285928","B+","C-","B-","B","C+","B+","D","S-","S-","63",
"《钟表装置内的灵脉：黄昏时刻的境界线》","https://bangumi.tv/blog/273938","A-","C+","A-","A+","B","B+","D+","C-","D+","74",
"《沙耶之歌》","https://bangumi.tv/blog/269450","C","A-","B+","B+","A","A+","D-","C","B+","77",
"《夏空的英仙座》","https://bangumi.tv/blog/270220","B","B-","B","B+","B+","A-","E+","A-","C-","68",
"《大图书馆的牧羊人：梦羊》","https://bangumi.tv/blog/271885","S-","C+","A","A+","B+","A-","E+","B-","C-","74",
"《SISTERS：夏日的最后一天》","https://bangumi.tv/blog/270190","C+","C","B+","A-","C","C","E+","S","C-","57",
"《寻找失去的未来》","https://bangumi.tv/blog/270150","A-","B-","A+","S","B","A-","D-","B+","D+","76",
"《对魔忍阿莎姬》","https://bangumi.tv/blog/274155","D+","D+","B-","B-","C-","A-","D-","A","A+","50",
"《明日的世界》","https://bangumi.tv/blog/272465","B-","B+","B+","A-","A","A","D","C+","D","79",
"《SISTERS：夏日的最后一天》","https://bangumi.tv/blog/273942","C+","C","B+","A-","C","C","E+","S","C-","58",
"《尘骸魔京》","https://bangumi.tv/blog/269489","C","B","B+","A-","A","A-","D","C","C-","74",
"《魔法使之夜》","https://bangumi.tv/blog/272239","S-","B","S","A+","B+","E","D+","E","E+","82",
"《不要践踏天使的羽毛》","https://bangumi.tv/blog/270196","B+","B+","B+","A-","A-","B","D","B-","C+","79",
"《梦见坡》","https://bangumi.tv/blog/275413","D-","D+","D-","D-","D","E","D-","D+","C","34",
"《加奈……欢迎回来！》","https://bangumi.tv/blog/271389","B-","B+","B-","B-","A","B+","D","C+","D+","75",
"《恋花绽放樱飞时》","https://bangumi.tv/blog/272148","A-","C+","B+","A","B","B+","D-","B-","D+","69",
"《夏娃年代记2》","https://bangumi.tv/blog/293311","A","B","B+","B+","B","B+","A","B-","A-","88",
"《对魔忍阿莎姬2：淫谋之东京王国》","https://bangumi.tv/blog/293562","D+","C-","B-","B-","C-","B+","D-","A","A+","52",
"《钟表装置内的灵脉：残影之夜结束时》","https://bangumi.tv/blog/274657","A","B+","A-","A+","B","B+","D+","C-","C-","82",
"《她的圣域》","https://bangumi.tv/blog/271651","A-","D+","A","B+","B+","A","D-","B+","C+","63",
"《超电激冲锋卫士》","https://bangumi.tv/blog/273199","B-","A-","A","B+","A","A+","D+","D","D+","84",
"《深层平行悖论》","https://bangumi.tv/blog/277809","B","D+","B-","B+","C","B-","D-","A+","B-","56",
"《逆转裁判4》","https://bangumi.tv/blog/275646","B","A","A-","C+","B-","D-","A","E","E+","88",
"《LOVELY×CATION》","https://bangumi.tv/blog/270195","S-","C+","A","A","C-","A","B-","A","C+","79",
"《书淫，或是已失去的梦之物语》","https://bangumi.tv/blog/269296","B-","B","C","C-","B-","E","C","C","C+","66",
"《青空下的约定》","https://bangumi.tv/blog/269500","A+","A-","B+","B","A-","B","C+","C+","D+","86",
"《恋狱月狂病》","https://bangumi.tv/blog/269486","B","A-","A+","A+","A-","A+","D","C+","A-","85",
"《漂亮脸蛋》","https://bangumi.tv/blog/270234",,,,,,,,,,,
"《virwife》","https://bangumi.tv/blog/270202","D+","E+","C+","A-","C+","C+","D-","B+","B+","41",
"《方根书简》","https://bangumi.tv/blog/295796","A-","C+","B+","B","A-","B+","B-","E","E+","77",
"《少女爱上姐姐：2位艾露达》","https://bangumi.tv/blog/270146","C","B+","A","A-","A","A-","C","C+","D+","83",
"《少女爱上姐姐》","https://bangumi.tv/blog/269501","B-","B","A-","B-","B","B-","D","C+","C-","72",
"《丧服萝莉紧缚奇谭》","https://bangumi.tv/blog/277305","B","C-","B-","A","A","A-","D","A","B+","65",
"《女装山脉》","https://bangumi.tv/blog/270193","B","D+","B+","B+","C+","B","D-","A-","B","56",
"《隐形守护者》","https://bangumi.tv/blog/293529","A-","A-","A-","A","A-","B+","C-","E","C","87",
"《与我相恋的废柴恶魔》","https://bangumi.tv/blog/275639","A-","C","A-","A","B+","B+","D-","A+","D+","70",
"《天使不在的12月》","https://bangumi.tv/blog/271273","C+","B-","B-","B","A","A-","D","B","C","70",
"《密室》","https://bangumi.tv/blog/273981","D-","E+","C-","B-","C-","C","D","C","B","36",
"《末世孤雄》","https://bangumi.tv/blog/271514","B","B","B","A-","C","B-","E","C+","C+","67",
"《漆黑的夏尔诺斯》","https://bangumi.tv/blog/270207","B-","B+","B+","A","A","A","B","D-","C+","87",
"《逆转裁判：复苏的逆转》","https://bangumi.tv/blog/275237","B","A","B+","C","B-","D-","A","E","D-","88",
"《变身妄想》","https://bangumi.tv/blog/277494","D","D-","C+","B","C-","C+","D-","B","C","42",
"《学校的圣域》","https://bangumi.tv/blog/277304","A-","C-","A-","A-","B+","A-","D-","B+","C-","65",
"《生存游戏》","https://bangumi.tv/blog/273634",,,,,,,,,,,
"《四重奏》","https://bangumi.tv/blog/273810","A","B","A-","A-","A","E","D","D-","C-","75",
"《少女理论及其周边》","https://bangumi.tv/blog/274363","S-","A-","A+","A+","A-","A","D","C","C","89",
"《你与她与她的恋爱》","https://bangumi.tv/blog/275723","A","B-","C+","A-","B-","B","C+","B-","B-","75",
"《寒蝉鸣泣之时》","https://bangumi.tv/blog/270514","D","A","A-","D-","B+","E+","E-","E+","B-","70",
"《对异形活祭神官缇娜》","https://bangumi.tv/blog/277640","B+","D+","B","A","C","C+","D-","B","A-","57",
"《家族计划：追忆》","https://bangumi.tv/blog/269461","C-","A","B+","C+","A","A-","D","D","D+","80",
"《混沌之子》","https://bangumi.tv/blog/275764","A","A","A","A-","B+","A","C","E+","B-","90",
"《G弦上的魔王》","https://bangumi.tv/blog/269569","B","A","B+","A-","A","B","D","C+","C","83",
"《白色相簿2：迷你后日谈》","https://bangumi.tv/blog/274842","A-","B-","B","B+","A","A+","E","E+","E","71",
"《翠之海》","https://bangumi.tv/blog/277348","A-","B","B+","A-","A","A-","D","B-","C-","78",
"《兰斯03：利萨斯陷落》","https://bangumi.tv/blog/274276","A+","B","A+","A","A-","A","A+","B+","A-","96",
"《恋姬无双》","https://bangumi.tv/blog/269510","C","C+","A-","B","A+","A","B+","A-","D+","78",
"《水仙》","https://bangumi.tv/blog/269491","D+","B+","B-","C-","S-","A+","E","E","E","69",
"《流星·世界演绎者》","https://bangumi.tv/blog/295685","A+","B","A-","A-","B+","A","D","C+","D+","79",
"《纯白交响曲：六出飞花》","https://bangumi.tv/blog/286433","B","B","A","A-","A+","A-","D-","E+","E","78",
"《暗之部屋》","https://bangumi.tv/blog/270145","D","B+","E+","D","B-","E","E","E+","C","54",
"《妈妈LOVE》","https://bangumi.tv/blog/269457","C+","B","B-","B-","C","A-","D","B","D+","66",
"《密汁》","https://bangumi.tv/blog/277607","D-","E","C-","C+","C-","C","D","B-","D+","35",
"《小萝莉牛奶帕菲》","https://bangumi.tv/blog/273609","D+","D","C","B-","C-","B-","D-","B","C+","45",
"《Binary pot》","https://bangumi.tv/blog/275204","C+","C-","B-","B","C","B","E","C-","B-","56",
"《SPPL01：春天来了》","https://bangumi.tv/blog/272898","B-","B","A-","A+","A","A-","E","E","E","74",
"《大图书馆的牧羊人》","https://bangumi.tv/blog/270221","S-","B","A","A+","B+","A","D","B+","D+","82",
"《该死的妹子》","https://bangumi.tv/blog/270148","D","E+","D+","D+","D-","D","E","C+","C","26",
"《駄作：爱丽丝与克罗艾连结之日》","https://bangumi.tv/blog/277207","B+","C","B-","B","B+","B","E","B+","A","60",
"《哥特妄想》","https://bangumi.tv/blog/273975","A","B","A-","A","A-","A","E","B+","C+","75",
"《屠杀之园》","https://bangumi.tv/blog/295863","C-","C","B-","C","A","E","D-","C+","A-","55",
"《艳遇天降！娘娘饭店》","https://bangumi.tv/blog/273610","B","C","B-","B","B-","B-","D","B+","D+","62",
"《狂欢节》","https://bangumi.tv/blog/269453","C","A-","C+","C","B","B","D-","B-","A","70",
"《大图书馆的牧羊人：放学后的最后时光》","https://bangumi.tv/blog/271839","S-","D+","B","A+","B+","B","E+","E+","E","63",
"《School Days》","https://bangumi.tv/blog/269463","A+","B","A-","B","A+","S-","D+","A-","B-","81",
"《绮愿幸运星》","https://bangumi.tv/blog/274172","C+","C+","B-","C","A-","A-","C","A-","C+","69",
"《吸血歼鬼维德戈尼亚》","https://bangumi.tv/blog/269299","C","B+","C+","D+","B-","E","C+","C-","A-","69",
"《妻色少女》","https://bangumi.tv/blog/273369","D","D+","B-","B","C","C","E","B","D+","45",
"《与抖M精灵的异世界靡孕生活》","https://bangumi.tv/blog/286023","C-","D","B","B+","C-","B-","E+","B+","C","42",
"《海猫鸣泣之时翼》","https://bangumi.tv/blog/270187","D+","C+","B","D","A","E+","E","E+","E","55",
"《白雪：七凭之祭》","https://bangumi.tv/blog/269591","B","B-","A-","A+","B-","B","B-","B-","B","80",
"《更胜夜明前的琉璃色：月光圆舞曲》","https://bangumi.tv/blog/273750","B+","B-","B+","A-","B","A","E+","C+","D","70",
"《美香加油》","https://bangumi.tv/blog/275412","D+","E+","C","B","C-","D","D-","B","C+","38",
"《第2届妹选拔总选举》","https://bangumi.tv/blog/277606","B-","D","C","B-","C+","B-","E+","A-","C-","50",
"《滥交女：我妹妹是bitch》","https://bangumi.tv/blog/270320","B","D-","B-","B","C-","C+","D-","A-","B-","48",
"《筑巢之龙》","https://bangumi.tv/blog/271709","C","C-","B-","C","C","B-","S-","C","C+","72",
"《SANARARA》","https://bangumi.tv/blog/269488","C","B+","B","B-","A","B+","E+","D-","D","72",
"《月光嘉年华》","https://bangumi.tv/blog/269512","C+","B-","B","B","B+","A","D","D+","C+","68",
"《太过幼齿的娇妻》","https://bangumi.tv/blog/274336","C+","D-","C","B-","C+","B","D","C+","C+","47",
"《与发情高冷M会长的过激甜蜜学园生活》","https://bangumi.tv/blog/293318","C-","E+","C","B","C-","B-","E+","A-","C+","39",
"《电波消失之日》","https://bangumi.tv/blog/269520","C-","C-","B","B","C+","C-","C","B","A","60",
"《淫俗村》","https://bangumi.tv/blog/270223","B-","D-","C+","B","C-","C+","D-","A-","A","44",
"《MinDeaD BlooD：献给支配者的狂死曲》","https://bangumi.tv/blog/275440","C+","B","B+","B","A","S-","B+","A+","S","85",
"《kira☆kira》","https://bangumi.tv/blog/269522","B","A","B+","B+","A+","A","D","C-","D+","85",
"《更胜夜明前的琉璃色》","https://bangumi.tv/blog/269492","B+","B","B+","A-","B-","A","D","B","D","74",
"《幸运祝词》","https://bangumi.tv/blog/272044","C+","D-","B-","B-","C-","C+","D","B-","D-","48",
"《3days》","https://bangumi.tv/blog/269454","C","B","C","C+","A","B","C-","C+","A-","71",
"《料理》","https://bangumi.tv/blog/274024","E+","D+","D-","D-","E+","E+","E+","E+","B+","32",
"《月姬》","https://bangumi.tv/blog/269298","D+","A+","A-","D","B","E","D+","C","C-","75",
"《Remember11》","https://bangumi.tv/blog/269533","B+","S-","A+","B+","A-","A-","D+","E","E+","93",
"《逆转裁判5》","https://bangumi.tv/blog/295179","B","B+","A-","B+","B","B-","A-","E","E+","87",
"《桃色恋恋》","https://bangumi.tv/blog/270229","D","D-","C+","B","C","C+","E+","B","B-","39",
"《弹丸论破》","https://bangumi.tv/blog/293460","B+","A-","A-","A-","A","B","A-","E","C-","93",
"《Fate/hollow ataraxia》","https://bangumi.tv/blog/269494","A","B+","S-","B","B","E+","B+","B","C","86",
"《Never7》","https://bangumi.tv/blog/269420","D+","B-","C+","C","B+","B","D","E","E","62",
"《交错频道》","https://bangumi.tv/blog/270279","B+","A","B+","A-","B+","A+","D","C+","C+","85",
"《胸部战争：巨乳王国VS贫乳王国》","https://bangumi.tv/blog/275676","B","C","B-","B+","D","C+","C-","A-","C+","64",
"《阿特拉克·纳克亚》","https://bangumi.tv/blog/280031","C","A-","B+","B","A+","E","D","C+","B-","75",
"《死神之吻乃离别之味》","https://bangumi.tv/blog/273959","B-","B-","A","A-","B","B","D-","B-","C-","70",
"《TD1：黑白羽翼》","https://bangumi.tv/blog/270262","C+","C+","A","A-","A-","A-","E+","C","D","68",
"《魔女的夜宴》","https://bangumi.tv/blog/274310","S","B","S-","A-","B","A","D","B+","D+","81",
"《星之梦》","https://bangumi.tv/blog/273979","C","A-","B+","B-","A","B+","E","E","D+","73",
"《妹选拔总选举》","https://bangumi.tv/blog/270206","B-","D+","C","B-","C+","C+","D-","B-","C-","51",
"《腐姬》","https://bangumi.tv/blog/269425","B","A-","B","B-","A+","B-","D-","C+","C+","76",
"《FOLKLORE JAM》","https://bangumi.tv/blog/278170","C+","B-","B-","C+","A-","B-","D+","C+","D+","68",
"《妹调教日记√happy end&amp;another》","https://bangumi.tv/blog/270226","B-","D","B-","B","B-","B-","C-","A","C+","56",
"《大逆转裁判》","https://bangumi.tv/blog/278132","B+","A-","A","A","A","B","A","E","D-","97",
"《Kanon》","https://bangumi.tv/blog/269294","C-","B+","D+","C","S-","B+","D","E","E","69",
"《妹妹的圣域》","https://bangumi.tv/blog/273346","A-","C-","A","A-","B+","A-","D-","B+","D+","66",
"《爱之钥》","https://bangumi.tv/blog/280410","B+","D","B","A","C+","B+","E","B+","D","54",
"《黄昏的禁忌之药》","https://bangumi.tv/blog/270147","A+","B+","A+","A-","A+","B+","D+","B-","B","86",
"《sense off》","https://bangumi.tv/blog/280293","D-","B-","C+","C","A+","E","D","D-","D","60",
"《哈尼炮》","https://bangumi.tv/blog/276824","C","E+","B-","A-","C+","C","B+","C","E","58",
"《夏娃年代记》","https://bangumi.tv/blog/272914","A+","B","A-","B","A-","A","S-","B-","A-","94",
"《euphoria》","https://bangumi.tv/blog/270194","B-","A-","C","C","B","A+","D+","A+","S-","72",
"《单身日记：新鲜人篇》","https://bangumi.tv/blog/293521","C+","C+","A-","B+","A-","E","B+","D-","C-","75",
"《逆转裁判6》","https://bangumi.tv/blog/295514","B+","A-","A-","A-","B+","B-","A","E","E+","94",
"《传颂之物》","https://bangumi.tv/blog/269448","B-","B+","A","A-","A","E","A","C+","D+","88",
"《Fate/stay night》","https://bangumi.tv/blog/269451","S-","A+","S","B","B-","S-","D+","B","C","92",
"《天气雨》","https://bangumi.tv/blog/274216","A-","C-","A-","A-","A-","B+","D-","B","D","65",
"《与我相恋的废柴恶魔：一期一会》","https://bangumi.tv/blog/292808","A-","C-","A-","A","B+","B+","E+","A-","C-","64",
"《美少女万华镜：罪与罚的少女》","https://bangumi.tv/blog/277852","B-","C+","B+","A+","A-","B+","D","A-","B-","70",
"《日在校园》","https://bangumi.tv/blog/269476",,,,,,,,,,,
"《忘却之物与遗落之物》","https://bangumi.tv/blog/270330","B+","B+","E","E+","B-","E","D+","E+","C-","62",
"《梦魇骑士》","https://bangumi.tv/blog/269528","B","D+","C+","B","C+","C+","E+","B","A","51",
"《水仙3》","https://bangumi.tv/blog/275653","C-","B","C+","C","S-","B+","E","E+","D+","66",
"《BALDR SKY Dive2 “RECORDARE”》","https://bangumi.tv/blog/277808","S","A-","A-","A-","S-","A-","S-","B-","C-","103",
"《人间残渣》","https://bangumi.tv/blog/274205","B","B","A+","A","A-","A+","D","S-","S-","79",
"《海猫鸣泣之时》","https://bangumi.tv/blog/269518","D+","A-","A-","D","A","E+","E+","E+","B","69",
"《Dark Blue》","https://bangumi.tv/blog/269590","C","C+","C+","B-","B-","B","D","B+","A+","61",
"《School Days》","https://bangumi.tv/blog/269475",,,,,,,,,,,
"《妻管员》","https://bangumi.tv/blog/269513","B+","C","B-","B-","A-","A-","B","A+","C+","74",
"《AI：梦境档案》","https://bangumi.tv/blog/294647","S-","A-","B+","A","B","A-","B","E","B-","93",
"《扔掉黄书以后兄长情况有异》","https://bangumi.tv/blog/271797","A+","C-","B+","A","B+","A","D-","A+","C-","67",
"《仓野家的双胞胎故事》","https://bangumi.tv/blog/270218","B+","C","B","B+","B","B+","D","B+","C","65",
"《你所期望的永远》","https://bangumi.tv/blog/275726","B+","A","A","B+","A-","A+","D+","B","B-","87",
"《妹调教日记》","https://bangumi.tv/blog/270200","C+","C+","C+","C+","C+","B-","D","A-","S-","61",
"《雫》","https://bangumi.tv/blog/275681","C+","B-","B","B-","A","A+","D","B-","A-","70",
