"name","href","系统","剧情","人设","画面","音乐","声优","游戏性","工口","鬼畜","总体评分","对白"
"《续·杀戮之姜戈：地狱通缉犯》","https://bangumi.tv/blog/275667","B-","A-","B+","B+","A","A","D","C+","A","82",
"《车轮之国：悠久之少年少女》","https://bangumi.tv/blog/275704","B","A-","B-","B+","B","B","E+","B-","C-","74",
"《SWAN SONG》","https://bangumi.tv/blog/271423","B-","A","A-","B","B+","A","D","C-","B","83",
"《秽翼的尤斯蒂娅》","https://bangumi.tv/blog/270191","A","A","A-","A+","B+","A","D","B","D","87",
"《彼岸花盛开之夜》","https://bangumi.tv/blog/270199","D+","B+","B","C-","A-","E+","E","E+","C","63",
"《轮舞曲Duo：夜明的最强音》","https://bangumi.tv/blog/273319","C-","C","C+","B-","C+","B-","C","S-","B+","61",
"《鬼哭街：泪尽铃音响》","https://bangumi.tv/blog/269422","B-","B+","B+","A","B-","A+","E","E+","B-","73",
"《如月真绫的诱惑》","https://bangumi.tv/blog/292759","A-","D-","B+","A+","C","B+","D-","A","D+","57",
"《城堡幻想曲2：新圣魔大战》","https://bangumi.tv/blog/273853","D+","B","B","A","C","B-","A-","C","C-","78",
"《命运石之门：变移空间的八比特》","https://bangumi.tv/blog/294677","E","D+","C+","D+","C+","E","C-","E","E","46",
"《LEWDNESS》","https://bangumi.tv/blog/270213","A-","C-","B-","B","C+","A-","D","A+","S-","60",
"《Gore Screaming Show》","https://bangumi.tv/blog/272768","B-","B+","B","B-","A-","A","C-","B","S-","78",
"《刃鸣散》","https://bangumi.tv/blog/269493","C","B","B-","A-","C+","B-","C+","D+","C+","74",
"《初雪樱》","https://bangumi.tv/blog/270210","B+","B+","B+","A","A","B+","C-","B-","C-","83",
"《兰斯02改：反逆的少女们》","https://bangumi.tv/blog/269592","B","C","A","B","C","E","A-","C","C+","72",
"《Clannad》","https://bangumi.tv/blog/269529","B+","S-","C","B-","S-","S-","D+","E","E","89",
"《兰斯6：赛斯崩坏 其之后》","https://bangumi.tv/blog/295342","B-","C-","B+","B-","B","E","E","E+","C+","53",
"《壳之少女》","https://bangumi.tv/blog/269573","B+","B+","A+","S","S-","A+","B","C","B+","94",
